queue_name,queue_slug,scenario_id,replication,seed,lambda_rate,mu_rate,rho,K,N,p_high,servers,service_distribution,sim_time,warmup_time,measured_time,arrivals_total,arrivals_high,arrivals_low,accepted_total,accepted_high,accepted_low,served_total,served_high,served_low,dropped_total,dropped_high,dropped_low,replaced_low,loss_probability_total,loss_probability_high,loss_probability_low,replacement_probability_low,throughput_total,throughput_high,throughput_low,server_utilization,mean_system_occupancy,mean_queue_occupancy,mean_waiting_time,mean_system_time,mean_service_time,p50_system_time,p95_system_time,p99_system_time,mean_waiting_time_high,mean_waiting_time_low,mean_system_time_high,mean_system_time_low,little_law_error_abs,little_law_error_rel,mean_residence_time_admitted,departed_admitted_total,admitted_departure_rate,little_law_error_admitted
Fila M/G/1/∞/∞/∞/FCFS,mg1_buffer_infinito_fcfs,base,0,5472037,200.0,250.0,0.8,,,0.3,1,exponential,1000.0,100.0,900.0,179756,53752,126004,179756,53752,126004,179756,53752,126004,0,0,0,0,0.0,0.0,0.0,0.0,199.7288888888889,59.724444444444444,140.00444444444443,0.8029155051495385,3.982321866550344,3.179406361400761,0.015918541869873664,0.01993852224196855,0.004019980372095055,0.014063384913754362,0.058415952575114005,0.08891108898482122,0.015907372080855325,0.01592330678606125,0.019944276825583265,0.01993606739626182,2.297307556808903e-05,5.768764137588226e-06,0.01993852224196855,179756,199.7288888888889,2.297307556808903e-05
Fila M/G/1/∞/∞/∞/FCFS,mg1_buffer_infinito_fcfs,base,1,5473037,200.0,250.0,0.8,,,0.3,1,exponential,1000.0,100.0,900.0,179360,53786,125574,179360,53786,125574,179354,53783,125571,0,0,0,0,0.0,0.0,0.0,0.0,199.28222222222223,59.75888888888889,139.52333333333334,0.7939284256308731,3.8906214105602195,3.096692984929229,0.015538770710352224,0.019522697550400606,0.0039839268400483465,0.01354944450417861,0.058184432504828014,0.09029956112871275,0.015531674083505611,0.01554181024879417,0.019541171870034218,0.019514784860903595,9.485894405258932e-05,2.4381437832814057e-05,0.019522697550400606,179354,199.28222222222223,9.485894405258932e-05
Fila M/G/1/∞/∞/∞/FCFS,mg1_buffer_infinito_fcfs,base,2,5474037,200.0,250.0,0.8,,,0.3,1,exponential,1000.0,100.0,900.0,179782,54013,125769,179782,54013,125769,179781,54013,125768,0,0,0,0,0.0,0.0,0.0,0.0,199.75666666666666,60.01444444444444,139.7422222222222,0.8026520071705958,4.051382918196096,3.2487309110254627,0.01626321885202495,0.020281228888879496,0.004018010036854991,0.014077155140711284,0.0607653778505437,0.09236659439866372,0.01624051029760698,0.016272971389631654,0.020253880068404593,0.02029297426004165,7.223944982470698e-05,1.7830812659118395e-05,0.020281228888879496,179781,199.75666666666666,7.223944982470698e-05
Fila M/G/1/∞/∞/∞/FCFS,mg1_buffer_infinito_fcfs,base,3,5475037,200.0,250.0,0.8,,,0.3,1,exponential,1000.0,100.0,900.0,180410,54320,126090,180410,54320,126090,180409,54320,126089,0,0,0,0,0.0,0.0,0.0,0.0,200.45444444444445,60.355555555555554,140.0988888888889,0.801655087289124,4.114695935558782,3.313040848269687,0.016522825750695,0.02052150475676058,0.0039986790060658126,0.014144610721587014,0.06178642698090471,0.09744629963003491,0.016527804579061403,0.016520680837523803,0.020529690828572807,0.02051797814126881,0.001069100378315646,0.0002598248801513108,0.02052150475676058,180409,200.45444444444445,0.001069100378315646
Fila M/G/1/∞/∞/∞/FCFS,mg1_buffer_infinito_fcfs,base,4,5476037,200.0,250.0,0.8,,,0.3,1,exponential,1000.0,100.0,900.0,179223,53420,125803,179223,53420,125803,179223,53420,125803,0,0,0,0,0.0,0.0,0.0,0.0,199.13666666666666,59.355555555555554,139.7811111111111,0.7935221672308991,3.812215234741934,3.0186930675108794,0.015158714895733557,0.01914338540967295,0.003984670513939637,0.01327938273448126,0.0574549387289835,0.08697255253140777,0.01525201174444222,0.015119098053066582,0.019231796448492815,0.019105843239027403,6.527554436175365e-05,1.7122733199027374e-05,0.01914338540967295,179223,199.13666666666666,6.527554436175365e-05
Fila M/G/1/∞/∞/∞/FCFS,mg1_buffer_infinito_fcfs,base,5,5477037,200.0,250.0,0.8,,,0.3,1,exponential,1000.0,100.0,900.0,179429,53909,125520,179429,53909,125520,179423,53907,125516,0,0,0,0,0.0,0.0,0.0,0.0,199.35888888888888,59.89666666666667,139.4622222222222,0.799080098541063,3.9209947463127173,3.1219146477718813,0.015659555153013326,0.01966770823050412,0.0040081530774908085,0.0137769898597071,0.058596608723996677,0.08886073400678354,0.015585698251439942,0.015691275443598784,0.01958735701357978,0.019702217719738794,6.228648856154706e-05,1.5885379244672783e-05,0.01966770823050412,179423,199.35888888888888,6.228648856154706e-05
Fila M/G/1/∞/∞/∞/FCFS,mg1_buffer_infinito_fcfs,base,6,5478037,200.0,250.0,0.8,,,0.3,1,exponential,1000.0,100.0,900.0,179869,54130,125739,179869,54130,125739,179869,54130,125739,0,0,0,0,0.0,0.0,0.0,0.0,199.85444444444445,60.144444444444446,139.71,0.8003776903603309,3.929293284838104,3.128915594477809,0.015655671040753112,0.019660357897534175,0.0040046868567806745,0.01386472202693767,0.05797858478343301,0.08586584588580086,0.01572290609040592,0.01562672669383074,0.019733860988030132,0.019628715190907076,8.337964746552018e-05,2.1220011188082033e-05,0.019660357897534175,179869,199.85444444444445,8.337964746552018e-05
Fila M/G/1/∞/∞/∞/FCFS,mg1_buffer_infinito_fcfs,base,7,5479037,200.0,250.0,0.8,,,0.3,1,exponential,1000.0,100.0,900.0,179448,53625,125823,179448,53625,125823,179445,53624,125821,0,0,0,0,0.0,0.0,0.0,0.0,199.38333333333333,59.58222222222222,139.8011111111111,0.7969743277593503,3.8589576163387265,3.0619832885791434,0.015354900607616384,0.019351768857482587,0.003996868249866273,0.013545103894784916,0.05729610586743092,0.08575297114297085,0.01540638250747214,0.015332959394321973,0.019399373818821845,0.019331479967337875,0.0005374356376570688,0.00013926963991042044,0.019351768857482587,179445,199.38333333333333,0.0005374356376570688
Fila M/G/1/∞/∞/∞/FCFS,mg1_buffer_infinito_fcfs,base,8,5480037,200.0,250.0,0.8,,,0.3,1,exponential,1000.0,100.0,900.0,180521,53946,126575,180521,53946,126575,180515,53946,126569,0,0,0,0,0.0,0.0,0.0,0.0,200.57222222222222,59.94,140.63222222222223,0.8009728630031361,3.9850041679038166,3.184031304900662,0.015874145497619955,0.019867408981415143,0.003993263483795032,0.013705395032729939,0.0601100458065218,0.08894149809894304,0.015844683767655788,0.015886702620491147,0.019826911240792743,0.019884669851893876,0.00015379870364506942,3.859436456398245e-05,0.019867408981415143,180515,200.57222222222222,0.00015379870364506942
Fila M/G/1/∞/∞/∞/FCFS,mg1_buffer_infinito_fcfs,base,9,5481037,200.0,250.0,0.8,,,0.3,1,exponential,1000.0,100.0,900.0,180446,53754,126692,180446,53754,126692,180442,53754,126688,0,0,0,0,0.0,0.0,0.0,0.0,200.4911111111111,59.72666666666667,140.76444444444445,0.7988464082272293,3.95874954070307,3.159903132475774,0.015760678820108016,0.019745008835842535,0.00398433001573401,0.01387185586750661,0.05878058115572456,0.08579919625944965,0.01575515706771582,0.015763021711921767,0.01973798336304559,0.019747989759565873,5.078030629368513e-05,1.2827360198358646e-05,0.019745008835842535,180442,200.4911111111111,5.078030629368513e-05
Fila M/G/1/∞/∞/∞/FCFS,mg1_buffer_infinito_fcfs,base,10,5482037,200.0,250.0,0.8,,,0.3,1,exponential,1000.0,100.0,900.0,179816,53952,125864,179816,53952,125864,179814,53951,125863,0,0,0,0,0.0,0.0,0.0,0.0,199.79333333333332,59.94555555555556,139.84777777777776,0.8008033827691203,3.9990247264699117,3.198221343700715,0.016007629027208613,0.020015764417861792,0.004008135390653527,0.013884081038185059,0.060465005580852,0.08965777991285108,0.015949133876560367,0.01603270289222576,0.01995724376092059,0.02004084921611624,8.434210578389667e-06,2.109066873871235e-06,0.020015764417861792,179814,199.79333333333332,8.434210578389667e-06
Fila M/G/1/∞/∞/∞/FCFS,mg1_buffer_infinito_fcfs,base,11,5483037,200.0,250.0,0.8,,,0.3,1,exponential,1000.0,100.0,900.0,179811,53844,125967,179811,53844,125967,179807,53842,125965,0,0,0,0,0.0,0.0,0.0,0.0,199.78555555555556,59.824444444444445,139.9611111111111,0.7994197723182389,3.9508789799144983,3.151459207596092,0.01577393899797875,0.01977529627394881,0.004001357275970389,0.013801613606347019,0.05918407808147774,0.08996797313206804,0.01578280820721521,0.01577014797695132,0.019768936635088906,0.019778014613769587,6.042754792767724e-05,1.529470992021754e-05,0.01977529627394881,179807,199.78555555555556,6.042754792767724e-05
Fila M/G/1/∞/∞/∞/FCFS,mg1_buffer_infinito_fcfs,base,12,5484037,200.0,250.0,0.8,,,0.3,1,exponential,1000.0,100.0,900.0,179476,54012,125464,179476,54012,125464,179475,54012,125463,0,0,0,0,0.0,0.0,0.0,0.0,199.41666666666666,60.013333333333335,139.40333333333334,0.8006902357163012,3.9759541186368494,3.1752638829205533,0.015922754858828575,0.019937890097680034,0.004015135238851519,0.013910958409837804,0.05904666994823912,0.0910381915799286,0.015913573073469793,0.015926707630488837,0.01994796879324992,0.019933551204898252,6.534991156215142e-06,1.6436284125068463e-06,0.019937890097680034,179475,199.41666666666666,6.534991156215142e-06
Fila M/G/1/∞/∞/∞/FCFS,mg1_buffer_infinito_fcfs,base,13,5485037,200.0,250.0,0.8,,,0.3,1,exponential,1000.0,100.0,900.0,180538,54375,126163,180538,54375,126163,180535,54374,126161,0,0,0,0,0.0,0.0,0.0,0.0,200.59444444444443,60.41555555555556,140.17888888888888,0.8051017145853115,4.2002231792322435,3.39512146464691,0.01692501794967027,0.02093839113086598,0.004013373181196165,0.014246798248564119,0.06360976755941578,0.10196308102087417,0.016824500939094607,0.01696833967296846,0.020834546381814457,0.020983147072757464,9.824277570036344e-05,2.338989418136614e-05,0.02093839113086598,180535,200.59444444444443,9.824277570036344e-05
Fila M/G/1/∞/∞/∞/FCFS,mg1_buffer_infinito_fcfs,base,14,5486037,200.0,250.0,0.8,,,0.3,1,exponential,1000.0,100.0,900.0,179912,53604,126308,179912,53604,126308,179910,53603,126307,0,0,0,0,0.0,0.0,0.0,0.0,199.9,59.55888888888889,140.3411111111111,0.8003192904800459,3.9822000142741802,3.181880723794208,0.015916892067652524,0.019920350348627658,0.004003458280975006,0.013845311572822538,0.05989343007037176,0.08930591097218216,0.01590250719307222,0.01592299681586214,0.01989027087674623,0.0199331156738369,0.00012197958351123361,3.063120462909906e-05,0.019920350348627658,179910,199.9,0.00012197958351123361
Fila M/G/1/∞/∞/∞/FCFS,mg1_buffer_infinito_fcfs,base,15,5487037,200.0,250.0,0.8,,,0.3,1,exponential,1000.0,100.0,900.0,180115,54254,125861,180115,54254,125861,180107,54253,125854,0,0,0,0,0.0,0.0,0.0,0.0,200.11888888888888,60.28111111111111,139.83777777777777,0.7995298658514416,3.9488459002150282,3.1493160343636295,0.015736622400570437,0.019731773846255445,0.003995151445684869,0.01384207059277287,0.05909987876286775,0.08693342796678964,0.015723424626178834,0.015742311682230593,0.019714470258581154,0.01973923305726239,0.00014524229555146206,3.678094795837769e-05,0.019731773846255445,180107,200.11888888888888,0.00014524229555146206
Fila M/G/1/∞/∞/∞/FCFS,mg1_buffer_infinito_fcfs,base,16,5488037,200.0,250.0,0.8,,,0.3,1,exponential,1000.0,100.0,900.0,179816,53830,125986,179816,53830,125986,179814,53829,125985,0,0,0,0,0.0,0.0,0.0,0.0,199.79333333333332,59.81,139.98333333333332,0.7980184024274819,3.944645699622216,3.1466272971947498,0.015748837609523884,0.019742935459943923,0.003994097850419646,0.013658484197918597,0.05931111067003486,0.09020148652960129,0.015781235738598787,0.01573499501802516,0.01977686562781243,0.01972843828165861,0.0001388142951537219,3.519056100957719e-05,0.019742935459943923,179814,199.79333333333332,0.0001388142951537219
Fila M/G/1/∞/∞/∞/FCFS,mg1_buffer_infinito_fcfs,base,17,5489037,200.0,250.0,0.8,,,0.3,1,exponential,1000.0,100.0,900.0,180195,54183,126012,180195,54183,126012,180195,54183,126012,0,0,0,0,0.0,0.0,0.0,0.0,200.21666666666667,60.20333333333333,140.01333333333332,0.804138689681273,4.155160043562044,3.351021353880656,0.016736841370029818,0.02075310777517046,0.0040162664051406095,0.014252851436822311,0.06323312207224487,0.09720175688228377,0.01668783677105575,0.016757912507589786,0.020688694389309776,0.02078080442696602,4.198184333237265e-05,1.0103544241916463e-05,0.02075310777517046,180195,200.21666666666667,4.198184333237265e-05
Fila M/G/1/∞/∞/∞/FCFS,mg1_buffer_infinito_fcfs,base,18,5490037,200.0,250.0,0.8,,,0.3,1,exponential,1000.0,100.0,900.0,180224,54292,125932,180224,54292,125932,180220,54292,125928,0,0,0,0,0.0,0.0,0.0,0.0,200.24444444444444,60.324444444444445,139.92,0.8049545988468532,4.053378756895417,3.2484241580486954,0.016222257139949983,0.02024205499044218,0.004019797850491995,0.014275908954900274,0.05978465154194907,0.09420149405323767,0.01633786463749804,0.016172414672374305,0.020372601157645918,0.020185771935761175,1.9700920428356028e-05,4.860369980190416e-06,0.02024205499044218,180220,200.24444444444444,1.9700920428356028e-05
Fila M/G/1/∞/∞/∞/FCFS,mg1_buffer_infinito_fcfs,base,19,5491037,200.0,250.0,0.8,,,0.3,1,exponential,1000.0,100.0,900.0,180514,54386,126128,180514,54386,126128,180510,54384,126126,0,0,0,0,0.0,0.0,0.0,0.0,200.56666666666666,60.42666666666667,140.14,0.7984901479962828,3.913626410832913,3.1151362628368595,0.015531347664274555,0.01951251609038066,0.003981168426106391,0.013512591424102993,0.059317822876857905,0.0896218579410459,0.015610030985735632,0.015497420371294757,0.01959185387494782,0.01947830660085565,6.61003055655307e-05,1.6889784212045674e-05,0.01951251609038066,180510,200.56666666666666,6.61003055655307e-05
Fila M/G/1/∞/∞/∞/FCFS,mg1_buffer_infinito_fcfs,base,20,5492037,200.0,250.0,0.8,,,0.3,1,exponential,1000.0,100.0,900.0,180373,54072,126301,180373,54072,126301,180369,54072,126297,0,0,0,0,0.0,0.0,0.0,0.0,200.41,60.08,140.33,0.8036606623001356,4.045876463041209,3.2422158007410347,0.016177639451735445,0.02018759019090882,0.004009950739173239,0.014183347021116788,0.060169418750524534,0.09176598158819851,0.016166993039250434,0.016182197539542777,0.020166718050067086,0.02019652625747894,8.15128811728627e-05,2.014715029425071e-05,0.02018759019090882,180369,200.41,8.15128811728627e-05
Fila M/G/1/∞/∞/∞/FCFS,mg1_buffer_infinito_fcfs,base,21,5493037,200.0,250.0,0.8,,,0.3,1,exponential,1000.0,100.0,900.0,180046,54107,125939,180046,54107,125939,180043,54107,125936,0,0,0,0,0.0,0.0,0.0,0.0,200.04777777777778,60.11888888888889,139.92888888888888,0.8006737389866215,4.0365177806151795,3.235844041628628,0.016174432073242515,0.020176617528393108,0.004002185455150486,0.014005913235337175,0.060394692134315156,0.09481337923525263,0.016252053478861724,0.01614108290069618,0.020238770468152045,0.020149914209949184,0.000230280987978837,5.7049417466889334e-05,0.020176617528393108,180043,200.04777777777778,0.000230280987978837
Fila M/G/1/∞/∞/∞/FCFS,mg1_buffer_infinito_fcfs,base,22,5494037,200.0,250.0,0.8,,,0.3,1,exponential,1000.0,100.0,900.0,179694,54051,125643,179694,54051,125643,179694,54051,125643,0,0,0,0,0.0,0.0,0.0,0.0,199.66,60.056666666666665,139.60333333333332,0.7941856247187622,3.8995451617721377,3.1053595370533236,0.015553131858644959,0.019530735560249993,0.003977603701605272,0.013586268220990405,0.05896335817081138,0.09049999768256425,0.01562641710330618,0.015521604907209507,0.019589284113565978,0.019505548260875773,3.84998126241598e-05,9.872898255309259e-06,0.019530735560249993,179694,199.66,3.84998126241598e-05
Fila M/G/1/∞/∞/∞/FCFS,mg1_buffer_infinito_fcfs,base,23,5495037,200.0,250.0,0.8,,,0.3,1,exponential,1000.0,100.0,900.0,179396,54079,125317,179396,54079,125317,179393,54079,125314,0,0,0,0,0.0,0.0,0.0,0.0,199.32555555555555,60.08777777777778,139.23777777777778,0.7953869652826077,3.828994242048787,3.033607276766274,0.015219271455922027,0.019209598196179452,0.003990326740257202,0.013588073733046713,0.0568996761021026,0.08831942704121265,0.015157930167451808,0.01524574316330665,0.01914466656555116,0.019237619308367798,3.040959631972484e-05,7.941927931302796e-06,0.019209598196179452,179393,199.32555555555555,3.040959631972484e-05
Fila M/G/1/∞/∞/∞/FCFS,mg1_buffer_infinito_fcfs,base,24,5496037,200.0,250.0,0.8,,,0.3,1,exponential,1000.0,100.0,900.0,179902,54052,125850,179902,54052,125850,179890,54048,125842,0,0,0,0,0.0,0.0,0.0,0.0,199.87777777777777,60.053333333333335,139.82444444444445,0.7974156387234852,3.7985567326942937,3.001141093970828,0.015011948549629377,0.019001362115061846,0.003989413565433087,0.013499259670652464,0.05588877616607417,0.08379018465298918,0.014963603235808072,0.015032712424340764,0.018949318074298185,0.0190237145595183,0.0006066983848764806,0.0001597181317984826,0.019001362115061846,179890,199.87777777777777,0.0006066983848764806
Fila M/G/1/∞/∞/∞/FCFS,mg1_buffer_infinito_fcfs,base,25,5497037,200.0,250.0,0.8,,,0.3,1,exponential,1000.0,100.0,900.0,179970,54252,125718,179970,54252,125718,179966,54251,125715,0,0,0,0,0.0,0.0,0.0,0.0,199.9622222222222,60.278888888888886,139.68333333333334,0.8030296120856033,3.9950896540578187,3.192060041972223,0.01596239047284941,0.01997809354245692,0.0040157030696071185,0.014048849759774384,0.05957539827227265,0.09013857289082813,0.015930843996577772,0.0159760040263969,0.019945493972700446,0.019992161547538155,0.00022567354470570677,5.648772975006701e-05,0.01997809354245692,179966,199.9622222222222,0.00022567354470570677
Fila M/G/1/∞/∞/∞/FCFS,mg1_buffer_infinito_fcfs,base,26,5498037,200.0,250.0,0.8,,,0.3,1,exponential,1000.0,100.0,900.0,180227,53886,126341,180227,53886,126341,180212,53880,126332,0,0,0,0,0.0,0.0,0.0,0.0,200.23555555555555,59.86666666666667,140.36888888888888,0.8013058854641321,4.138051731604561,3.3367458461404316,0.016662038644381948,0.020663816469492197,0.00400177782511063,0.013928023884204777,0.06219483147890508,0.09784276121294733,0.016818009500964636,0.01659551781234669,0.020826368870189963,0.020594488640046416,0.00042096093775256804,0.00010172925933657607,0.020663816469492197,180212,200.23555555555555,0.00042096093775256804
Fila M/G/1/∞/∞/∞/FCFS,mg1_buffer_infinito_fcfs,base,27,5499037,200.0,250.0,0.8,,,0.3,1,exponential,1000.0,100.0,900.0,180314,54198,126116,180314,54198,126116,180304,54195,126109,0,0,0,0,0.0,0.0,0.0,0.0,200.33777777777777,60.21666666666667,140.1211111111111,0.8015975006960324,4.043033875330935,3.241436374634853,0.0161775042433458,0.020178621867413607,0.004001117624068324,0.014002098342416502,0.06004465674309359,0.09532492936412383,0.016241788052221814,0.01614987845119734,0.020239479346855712,0.020152468531027222,0.0004936117952212271,0.0001220894532279484,0.020178621867413607,180304,200.33777777777777,0.0004936117952212271
Fila M/G/1/∞/∞/∞/FCFS,mg1_buffer_infinito_fcfs,base,28,5500037,200.0,250.0,0.8,,,0.3,1,exponential,1000.0,100.0,900.0,179705,53601,126104,179705,53601,126104,179702,53601,126101,0,0,0,0,0.0,0.0,0.0,0.0,199.6688888888889,59.556666666666665,140.11222222222221,0.801224652809324,4.15024488797442,3.349020235165158,0.01677279531785606,0.020785527221217195,0.004012731903361181,0.014058564342548152,0.0643963601766188,0.09781081023429279,0.0167879206633276,0.016766366077464956,0.02081580264977457,0.02077265822536432,2.1762744228048803e-05,5.243725325969954e-06,0.020785527221217195,179702,199.6688888888889,2.1762744228048803e-05
